name,population,HDIRank,GNI,lifeExpectancy,povertyPercent,popUrbanPercent,cleanWaterAccess,averageSchooling,electricityAccessRuralPop,electricityAccessTotalPop
Afghanistan,37.2,170,1746,64.5,55.9102416,25.5,67,3.9,64.2,71.5
Albania,2.9,69,12300,78.5,0.70356131,60.3,91,10.1,100,100
Algeria,42.2,82,13639,76.7,2.10072901,72.6,94,8,98.68768253,99.33670807
American Samoa,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Andorra,0.1,36,48641,81.8,No Current Info,88.1,100,10.2,100,100
Angola,30.8,149,5555,60.8,51.10411048,65.5,56,5.1,7,42
Anguilla,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
Antigua and Barbuda,0.1,74,22201,76.9,No Current Info,24.6,97,9.3,95.83648999,96.82629395
Argentina,44.4,48,17611,76.5,No Current Info,91.9,No Current Info,10.6,99.99520874,99.99520874
Armenia,3,81,9277,74.9,0.186516,63.1,100,11.8,100,100
Aruba,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,91.85620644,95.23818207
Australia,24.9,6,44097,83.3,No Current Info,86,100,12.7,100,100
Austria,8.9,20,46231,81.4,No Current Info,58.3,100,12.6,100,100
Azerbaijan,9.9,87,15240,72.9,No Current Info,55.7,91,10.5,100,100
Bahamas, The,0.4,60,28395,73.8,No Current Info,83,99,11.5,100,100
Bahrain,1.6,45,40399,77.2,No Current Info,89.3,100,9.4,100,100
Bangladesh,161.4,135,4057,72.3,41.69721603,36.6,97,6.1,55.53002068,68.2046814
Barbados,0.3,56,15912,79.1,2.49133687,31.1,98,10.6,100,100
Belarus,9.5,50,17039,74.6,No Current Info,78.6,96,12.3,100,100
Belgium,11.5,17,43821,81.5,No Current Info,98,100,11.8,100,100
Belize,0.4,103,7136,74.5,4.30354327,45.7,98,9.8,87.5,91.8
Benin,11.5,163,2135,61.5,66.79888964,47.3,66,3.8,17.2087338,40.03347778
Bermuda,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,100
BES Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Bhutan,0.8,134,8609,71.5,37.34112978,40.9,97,3.1,97.43246373,98.42352295
Bolivia,11.4,114,6849,71.2,20.39900273,69.4,93,9,74.953562,91.522822
Bosnia and Herzegovina,3.3,75,12690,77.3,2.19013356,48.2,96,9.7,100,100
Botswana,2.3,94,15951,69.3,No Current Info,69.4,90,9.3,36.04331683,58.52875137
Brazil,209.5,79,14068,75.7,3.8419269,86.6,98,7.8,98.242607,99.710902
British Virgin Islands,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info,No Current Info
Brunei Darussalam,0.4,43,76389,75.7,No Current Info,77.6,100,9.1,100,100
